Experiment,Date,Manipulator Angle,Start Temperature,End Temperature,Cr,Ni,Mo,W,Folder Path
NiCrW native oxide Live Heating,3/7/23,0,150,500,0.15,0.79,0,0.6,/Users/apple/Sync/Research/Native Oxide work/NiCrW live heating 3-7-23/150-500 Live Ramp
Ni22Cr6Mo aqueous oxide live heating,4/11/22,0,150,400,0.22,0.72,0.06,0,/Users/apple/Sync/Research/Muri NiCr experiments/Muri ni22cr6mo fast hold 4-11-22/Snapshots
